antecedent_id,consequent_id,support,confidence,lift,antecedent_name,consequent_name,antecedent_brand,consequent_brand,same_brand,antecedent_price,consequent_price,semantic_similarity
489,1898,0.0012642225031605564,1.0,790.9999999999999,Sữa rửa mặt Hoa Cúc 1000ml cho spa,Sửa Rửa Mặt  Tặng Kèm Chai Toner,no_brand,no_brand,True,95000.0,170000.0,0.017755758449557634
1898,489,0.0012642225031605564,1.0,790.9999999999999,Sửa Rửa Mặt  Tặng Kèm Chai Toner,Sữa rửa mặt Hoa Cúc 1000ml cho spa,no_brand,no_brand,True,170000.0,95000.0,0.017755758449557634
1425,1277,0.0012642225031605564,1.0,790.9999999999999,Sữa rửa mặt bọt Caudalie,Sữa rửa mặt tạo bọt Caudalie 150ml hàng Air nội địa Pháp,CAUDALIE PARIS,CAUDALIE PARIS,True,300000.0,270000.0,0.08303076452243208
1439,1736,0.0012642225031605564,1.0,790.9999999999999,Sữa Rửa Mặt Dove Tinh Chất Beauty Serum Cấp Ẩm & Cho Da Mềm Mượt 130g,Sữa Rửa Mặt Huxley Dạng Gel,Dove,Huxley (헉슬리),False,99000.0,264000.0,-0.03485886855068347
1220,1703,0.0012642225031605564,1.0,790.9999999999999,Sữa rửa mặt Olay Sáng Da Total Effects 7 in 1 Refreshing Citrus 150ml,[Hàng Mỹ] Sữa rửa mặt Olay Regenerist /Luminous /Total Effects Face Cleanser (150ml),Olay,Olay,True,160000.0,174500.0,0.13950661593030608
1661,1205,0.0012642225031605564,1.0,790.9999999999999,Gel Rửa Mặt CLEANSING GEL - handmade by Guby Homemade,Sữa Rửa Mặt The Face Shop Herb Day 365 Cleansing Foam,Guby Homemade,no_brand,False,315000.0,125000.0,-0.022409051415001314
1205,1661,0.0012642225031605564,1.0,790.9999999999999,Sữa Rửa Mặt The Face Shop Herb Day 365 Cleansing Foam,Gel Rửa Mặt CLEANSING GEL - handmade by Guby Homemade,no_brand,Guby Homemade,False,125000.0,315000.0,-0.022409051415001314
1084,1576,0.0012642225031605564,1.0,790.9999999999999,Sữa Rửa Mặt Medica Da Dầu Hỗn Hợp,[Hàng mới về] Sữa rửa mặt THE FACE SHOP 150ml 300ml/ tẩy trang 400ml/kem mát xa 200ml tùy chọn,Bielenda,The Faceshop,False,169000.0,161186.0,-0.10194234241798485
1698,1077,0.0012642225031605564,1.0,790.9999999999999,Sữa rửa mặt Ý Dĩ Hatomugi Naturie Nhật Bản,sữa rửa mặt SenKa Nhật,HATOMUGI,no_brand,False,47000.0,25000.0,-0.1470801145398803
405,1249,0.0012642225031605564,1.0,790.9999999999999,Sữa rửa mặt Đất Sét Khoáng Sạch Sâu Pond's White Beauty,Sữa Rửa Mặt Pond's Sáng Da White Beauty,Pond’s,Pond’s,True,15000.0,48000.0,0.029694152107852298
1249,405,0.0012642225031605564,1.0,790.9999999999999,Sữa Rửa Mặt Pond's Sáng Da White Beauty,Sữa rửa mặt Đất Sét Khoáng Sạch Sâu Pond's White Beauty,Pond’s,Pond’s,True,48000.0,15000.0,0.029694152107852298
