antecedent_id,consequent_id,support,confidence,lift,antecedent_name,consequent_name,antecedent_brand,consequent_brand,same_brand,antecedent_price,consequent_price,semantic_similarity
357,1222,0.0014705882352941176,1.0,680.0,Sữa rửa mặt NIVEA TẠO BỌT SIÊU MỊN 50ml,SỬA RỬA MẶT NGHỆ DƯỠNG ẨM & TRẮNG DA  RELOVE,Nivea,+Wis+,False,7900.0,23000.0,0.1844244284512918
1222,357,0.0014705882352941176,1.0,680.0,SỬA RỬA MẶT NGHỆ DƯỠNG ẨM & TRẮNG DA  RELOVE,Sữa rửa mặt NIVEA TẠO BỌT SIÊU MỊN 50ml,+Wis+,Nivea,False,23000.0,7900.0,0.1844244284512918
411,1296,0.0014705882352941176,1.0,680.0,[Mã BMLT30 giảm đến 30K đơn 299K] Gel rửa mặt ngăn ngừa mụn Truesky Centella Cleanser chiết xuất rau má 50g,[Mã BMLT30 giảm đến 30K đơn 299K] Sữa rửa mặt sáng da và dưỡng ẩm Truesky Glutathione Cleanser chiết xuất sữa dê 50g,TRUESKY,TRUESKY,True,55000.0,65000.0,0.16840197711512833
1296,411,0.0014705882352941176,1.0,680.0,[Mã BMLT30 giảm đến 30K đơn 299K] Sữa rửa mặt sáng da và dưỡng ẩm Truesky Glutathione Cleanser chiết xuất sữa dê 50g,[Mã BMLT30 giảm đến 30K đơn 299K] Gel rửa mặt ngăn ngừa mụn Truesky Centella Cleanser chiết xuất rau má 50g,TRUESKY,TRUESKY,True,65000.0,55000.0,0.16840197711512833
125,1546,0.0014705882352941176,1.0,680.0,"[ 100% Korea] Sửa rửa mặt 3w clinic trà xanh / Gạo 100ml sáng da , hỗ trợ giảm và ngăn ngừa mụn",Sữa rửa mặt tinh chất trà xanh cho da mụn,3W CLINIC,no_brand,False,17500.0,23000.0,-0.14518280937042818
1546,125,0.0014705882352941176,1.0,680.0,Sữa rửa mặt tinh chất trà xanh cho da mụn,"[ 100% Korea] Sửa rửa mặt 3w clinic trà xanh / Gạo 100ml sáng da , hỗ trợ giảm và ngăn ngừa mụn",no_brand,3W CLINIC,False,23000.0,17500.0,-0.14518280937042818
1736,1388,0.0014705882352941176,1.0,680.0,Sữa Rửa Mặt Huxley Dạng Gel,Sữa rửa mặt Huxley,Huxley (헉슬리),Huxley (헉슬리),True,264000.0,260000.0,0.21059604099173146
388,2124,0.0014705882352941176,1.0,680.0,"Sữa Rửa Mặt Trà Xanh BENEW Green tea Hàn Quốc 100ml , Sữa Rửa Măt Chính Hãng",Sữa Rửa Mặt Trắng Da Benew Hàn Quốc Chiết Xuất Từ Mầm Gạo Lúa Mạch 100ml Sữa Rửa Mặt Chính Hãng,Benew,Benew,True,53000.0,53000.0,0.3643997801004614
2124,388,0.0014705882352941176,1.0,680.0,Sữa Rửa Mặt Trắng Da Benew Hàn Quốc Chiết Xuất Từ Mầm Gạo Lúa Mạch 100ml Sữa Rửa Mặt Chính Hãng,"Sữa Rửa Mặt Trà Xanh BENEW Green tea Hàn Quốc 100ml , Sữa Rửa Măt Chính Hãng",Benew,Benew,True,53000.0,53000.0,0.3643997801004614
1983,2112,0.0014705882352941176,1.0,680.0,Sữa rửa mặt Simple Kind To Skin Refreshing Facial Wash 150ml - Xanh lá,Sữa Rửa Mặt Hatomugi Cleansing & Facial Washing 130g,simple,HATOMUGI,False,94500.0,58500.0,-0.012383214904765082
2112,1983,0.0014705882352941176,1.0,680.0,Sữa Rửa Mặt Hatomugi Cleansing & Facial Washing 130g,Sữa rửa mặt Simple Kind To Skin Refreshing Facial Wash 150ml - Xanh lá,HATOMUGI,simple,False,58500.0,94500.0,-0.012383214904765082
1388,1736,0.0014705882352941176,1.0,680.0,Sữa rửa mặt Huxley,Sữa Rửa Mặt Huxley Dạng Gel,Huxley (헉슬리),Huxley (헉슬리),True,260000.0,264000.0,0.21059604099173146
2113,67,0.0014705882352941176,1.0,680.0,OXY White Complete - Kem rửa mặt tút sáng từ đất sét trắng 100g,OXY Deep Wash (Scrub) - Kem rửa mặt có hạt sạch sâu 100g,no_brand,no_brand,True,62800.0,62800.0,0.1327457402482879
67,2113,0.0014705882352941176,1.0,680.0,OXY Deep Wash (Scrub) - Kem rửa mặt có hạt sạch sâu 100g,OXY White Complete - Kem rửa mặt tút sáng từ đất sét trắng 100g,no_brand,no_brand,True,62800.0,62800.0,0.1327457402482879
455,2160,0.0014705882352941176,1.0,680.0,xà phòng cam rửa mặt trắng da,💦🌸💦SỮA RỬA MẶT COLAGEN SKIN CARE hàn quốc 💦,no_brand,no_brand,True,5500.0,23000.0,0.21823452932828383
2160,455,0.0014705882352941176,1.0,680.0,💦🌸💦SỮA RỬA MẶT COLAGEN SKIN CARE hàn quốc 💦,xà phòng cam rửa mặt trắng da,no_brand,no_brand,True,23000.0,5500.0,0.21823452932828383
1228,1381,0.0014705882352941176,1.0,680.0,Gel Rửa Mặt Acnes Kiểm Soát Chất Nhờn 100g,Kem Rửa Mặt Ngăn Ngừa Mụn Acnes 100g,Acnes,Acnes,True,65000.0,52000.0,0.36292647270907835
1381,1228,0.0014705882352941176,1.0,680.0,Kem Rửa Mặt Ngăn Ngừa Mụn Acnes 100g,Gel Rửa Mặt Acnes Kiểm Soát Chất Nhờn 100g,Acnes,Acnes,True,52000.0,65000.0,0.36292647270907835
2042,755,0.0014705882352941176,1.0,680.0,Vichy Sữa Rửa Mặt Dạng Gel Giúp Làm Sạch Sâu Và Giảm Bã Nhờn Trên Da Normaderm Phytosolution Intensive,Vichy Chính Hãng- Sữa Rửa Mặt Dạng Gel Giúp Làm Sạch Sâu Và Giảm Bã Nhờn Trên Da Normaderm Phytosolution Intensive 50ml,Vichy,Vichy,True,400000.0,89000.0,0.2829551621168815
755,2042,0.0014705882352941176,1.0,680.0,Vichy Chính Hãng- Sữa Rửa Mặt Dạng Gel Giúp Làm Sạch Sâu Và Giảm Bã Nhờn Trên Da Normaderm Phytosolution Intensive 50ml,Vichy Sữa Rửa Mặt Dạng Gel Giúp Làm Sạch Sâu Và Giảm Bã Nhờn Trên Da Normaderm Phytosolution Intensive,Vichy,Vichy,True,89000.0,400000.0,0.2829551621168815
609,542,0.0014705882352941176,1.0,340.0,SỮA RỬA MẶT AVENE DÀNH CHO DA DẦU MỤN,Sữa rửa mặt Mamonde Lotus Micro Deep Cleansing Foam 15ml [date 2023],Eau Thermale Avène,Mamonde,False,215000.0,22500.0,0.34152678449341817
542,609,0.0014705882352941176,0.5,340.0,Sữa rửa mặt Mamonde Lotus Micro Deep Cleansing Foam 15ml [date 2023],SỮA RỬA MẶT AVENE DÀNH CHO DA DẦU MỤN,Mamonde,Eau Thermale Avène,False,22500.0,215000.0,0.34152678449341817
1116,66,0.0014705882352941176,1.0,340.0,[MUA 1 TẶNG 2 MASK] Sữa rửa mặt giảm mụn Caryophy Portulaca Cleansing Foam 150ml,Sữa rửa mặt Hồng sâm Hàn Quốc My Gold[Hàng chuẩn nắp đỏ],Caryophy,My gold,False,259000.0,54000.0,-0.03530314801300132
66,1116,0.0014705882352941176,0.5,340.0,Sữa rửa mặt Hồng sâm Hàn Quốc My Gold[Hàng chuẩn nắp đỏ],[MUA 1 TẶNG 2 MASK] Sữa rửa mặt giảm mụn Caryophy Portulaca Cleansing Foam 150ml,My gold,Caryophy,False,54000.0,259000.0,-0.03530314801300132
469,597,0.0014705882352941176,1.0,340.0,Sữa rửa mặt Acne -Aid Liquid Cleanser: sạch da- hết lo mụn trứng cá (100ml và 25ml),[DATE MỚI-CHÍNH HÃNG]Sữa rửa mặt/tắm không xà phòng cho mọi loại da Skinsiogel Cleanser,Acne-Aid,Gamma,False,125000.0,95999.0,0.18257818355292985
597,469,0.0014705882352941176,0.5,340.0,[DATE MỚI-CHÍNH HÃNG]Sữa rửa mặt/tắm không xà phòng cho mọi loại da Skinsiogel Cleanser,Sữa rửa mặt Acne -Aid Liquid Cleanser: sạch da- hết lo mụn trứng cá (100ml và 25ml),Gamma,Acne-Aid,False,95999.0,125000.0,0.18257818355292985
1088,2227,0.0014705882352941176,1.0,340.0,[Date 2023] Sữa rửa mặt dịu nhẹ Cetaphil 125ml - 500ml,Sữa Rửa Mặt Cetaphil Gentle Skin Cleaner ( 125ml-500ml),Cetaphil,Cetaphil,True,196280.0,209500.0,0.31322532592466384
2227,1088,0.0014705882352941176,0.5,340.0,Sữa Rửa Mặt Cetaphil Gentle Skin Cleaner ( 125ml-500ml),[Date 2023] Sữa rửa mặt dịu nhẹ Cetaphil 125ml - 500ml,Cetaphil,Cetaphil,True,209500.0,196280.0,0.31322532592466384
803,818,0.0014705882352941176,1.0,340.0,Sữa Rửa Mặt Trắng Da E100 (100g),Sữa Rửa Mặt E100 Tinh Chất Sữa Bò Tươi (80ml),E100,E100,True,44000.0,31000.0,0.3225731191984573
843,1941,0.0014705882352941176,1.0,340.0,Sữa Rửa Mặt Trắng Da Benew Hàn Quốc Chiết Xuất Hoàn Toàn Từ Thiên Nhiên 100ml Sữa Rửa Mặt Chính Hãng,Sữa rửa mặt collagen,Benew,no_brand,False,66000.0,25000.0,-0.09426737326994201
169,2073,0.0014705882352941176,1.0,340.0,Sữa rửa mặt Garnier 3 in 1 chính hãng Nga,Sữa rửa mặt Garnier Skinactive 3in1 Tonerde của Đức,Garnier,Garnier,True,149000.0,170000.0,-0.02049034171678657
